length	uniform	notUniform	lowCap	lowCap2	lowCap3	lowCapMax

100	0.0008720000000000117	0.0010209999999999941	0.0006309999999999927	0.0006049999999999944	0.0006490000000000107	0.0008370000000000044
200	0.003266000000000019	0.0010619999999999796	0.0007560000000000067	0.0006680000000000019	0.00044500000000000095	0.0005269999999999997
300	0.0012680000000000191	0.0012189999999999979	0.0006699999999999762	0.0005569999999999742	0.0004260000000000097	0.00042399999999997995
400	0.0011589999999999934	0.0011520000000000141	0.0006929999999999992	0.0005830000000000002	0.0005699999999999872	0.0005650000000000099
500	0.0022929999999999895	0.0014049999999999896	0.0008090000000000042	0.0007440000000000224	0.0007050000000000112	0.0006800000000000139
600	0.0022760000000000002	0.0018779999999999908	0.0010369999999999824	0.0009250000000000091	0.0008659999999999779	0.0008279999999999954
700	0.002234999999999987	0.0022549999999999792	0.0013729999999999853	0.0010879999999999779	0.0010449999999999904	0.0010020000000000029
800	0.00312599999999999	0.0032909999999999884	0.0015080000000000093	0.0012849999999999806	0.0012349999999999861	0.0015620000000000078
900	0.0036830000000000473	0.003224999999999978	0.0017079999999999873	0.002257000000000009	0.001731000000000038	0.0014250000000000096
10000	0.10506699999999997	0.10646899999999998	0.049310999999999994	0.038237000000000076	0.03290199999999999	0.030556000000000028
100000	3.1161960000000004	3.011272	1.2914919999999999	0.9882810000000006	0.8590510000000009	0.760548
200000	8.479161999999999	8.497228999999997	3.532216000000002	2.7158190000000033	2.303633000000005	2.0705500000000043
300000	15.58332	15.579444000000002	6.4102940000000075	4.914056000000002	4.191896	3.745020000000011
400000	23.981941000000006	24.375077999999988	9.819853999999992	7.4802899999999966	6.345041000000009	5.705452999999977
500000	33.600097000000005	33.624605	13.815652999999998	10.517577000000017	8.895167000000015	7.9290340000000015
600000	45.10044899999997	46.18998499999998	18.23566199999999	13.724189000000024	11.886281999999994	10.773486999999989
700000	55.809708	55.839526999999975	22.829025	17.23799699999995	14.525235000000066	13.056974999999966
800000	68.74481700000001	67.95937100000003	27.816824999999994	20.912799999999947	17.68843700000002	16.040358000000083
900000	81.95048299999996	80.77270999999996	32.81434399999989	24.888854000000038	20.905085999999983	18.823366999999962
1000000	95.49509699999999	97.02155199999993	38.53056000000015	29.191606000000093	24.475791999999956	22.41445900000008
