length	uniform	notUniform	lowCap	lowCap2	lowCap3	lowCapMax

100	0.751153	0.7391059999999998	0.736116	0.7346850000000003	0.5142070000000003	0.7371790000000003	0.07348700000000008
200	1.0322149999999999	1.0286710000000001	1.046105999999999	1.042739000000001	0.9715160000000012	1.0366370000000007	0.07360599999999984
300	1.267923999999999	1.2538219999999995	1.2519069999999992	1.2628200000000014	1.2506920000000008	1.2513770000000015	0.07347899999999896
400	1.5100180000000023	1.4746269999999981	1.471143999999999	1.4749830000000017	1.4745139999999992	1.4713260000000012	0.07347399999999737
500	1.6358320000000006	1.6193840000000002	1.619451999999999	1.6172900000000041	1.637159000000004	1.6191710000000015	0.07396200000000164
600	1.7654549999999958	1.7695069999999973	1.7652569999999983	1.7766069999999985	1.784002000000001	1.762270000000001	0.0736660000000029
700	1.9294359999999955	1.9287889999999948	1.9182859999999948	1.9133500000000012	1.9205959999999962	1.914287999999999	0.07362899999999684
800	2.060901000000001	2.060744999999997	2.058218999999994	2.059857000000008	2.0592609999999922	2.0585980000000035	0.07357700000000023
900	2.207253999999992	2.2306839999999966	2.2044509999999917	2.2083060000000074	2.251831999999993	2.2035280000000057	0.07371200000000044
10000	7.37167500000001	7.4163640000000015	7.404966999999999	7.389538000000002	7.380532000000002	7.375324000000006	0.07338800000002266
100000	23.465671000000015	23.481625000000008	23.43100000000001	24.14923300000001	24.062216000000006	8.47574499999999	0.07894099999998616
200000	33.60014699999999	33.899996000000044	33.281454	33.64628399999998	34.78831300000002	7.6586149999999975	0.07383899999996402
300000	40.913362000000006	40.759045999999955	40.83729299999993	40.86918700000001	40.782197	7.729946000000041	0.0739170000000513
400000	47.73033699999996	48.14290700000004	47.49217699999997	47.07784400000003	49.47603300000003	8.11709600000006	0.0774940000000015
500000	52.73342500000001	52.71655600000008	52.920271999999954	52.79465499999992	53.025863999999956	7.893287999999984	0.07405500000004395
600000	57.73178400000006	57.696477000000186	57.6334139999999	57.61993200000006	58.087604000000056	8.124115999999958	0.07420699999988756
700000	62.59543800000006	62.533059000000094	63.62563	63.94030699999985	66.91654399999993	8.051598000000013	0.073310999999876
800000	66.88504899999998	67.21927800000003	67.40726199999995	67.57769300000018	68.2341449999999	
