length	random	sorted	reversed

100	0.0003099999999999992	0.00037500000000000033	0.00027800000000000047
200	0.0007599999999999968	0.0008029999999999982	0.0006720000000000059
300	0.0012826000000000005	0.0012899999999999995	0.0011850000000000055
400	0.0023930000000000036	0.003232999999999986	0.001706000000000013
500	0.002260599999999996	0.002350999999999992	0.0020090000000000108
600	0.0030131999999999937	0.0029930000000000234	0.002585000000000004
700	0.003381400000000001	0.005318000000000017	0.0033430000000000126
800	0.003910600000000003	0.004089000000000009	0.004892999999999981
900	0.004579199999999983	0.005081000000000002	0.004473999999999978
10000	0.077234	0.07933100000000004	0.07591700000000001
100000	1.2407692000000001	1.0228269999999995	0.9998579999999997
200000	2.995224200000001	2.2800849999999997	2.0177650000000007
300000	3.4503200000000005	3.142119000000001	2.8854220000000055
400000	4.825958200000002	4.268084999999999	3.918120000000002
500000	6.5397440000000016	6.373236999999989	5.997134999999986
600000	8.771245800000003	7.188826999999975	7.041992999999991
700000	9.711034399999999	7.94525299999998	7.552468000000033
800000	11.34995379999999	9.802054999999996	8.936183000000028
900000	12.870314799999994	11.51285200000001	10.860352000000034
1000000	14.996111000000042	12.143993000000023	11.508543000000031
