length	uniform	nrandom	lowCap	unbalanced

100	0.00018873214721679688	0.0001171112060546875	0.0001270771026611328	0.00019288063049316406
200	0.00040755271911621096	0.0002680778503417969	0.00023102760314941406	0.00044226646423339844
300	0.0006505489349365234	0.0004292011260986328	0.0004010200500488281	0.0007545948028564453
400	0.0008883476257324219	0.0006002426147460937	0.0005741119384765625	0.0012636184692382812
500	0.0011643409729003907	0.0008204460144042968	0.0007388591766357422	0.0016891956329345703
600	0.0014751911163330077	0.0010076999664306641	0.0009822845458984375	0.0022156238555908203
700	0.0017387866973876953	0.0012514591217041016	0.0011415481567382812	0.0028679370880126953
800	0.0020703792572021483	0.0014474868774414062	0.0013794898986816406	0.003328084945678711
900	0.002374267578125	0.0016902923583984376	0.0016021728515625	0.0039958953857421875
1000	0.0027317047119140626	0.0019565105438232424	0.0018322467803955078	0.004514455795288086
10000	0.05633726119995117	0.0461820125579834	0.047212839126586914	0.14141535758972168
100000	1.5310598373413087	1.3271734237670898	1.3126044273376465	5.327013731002808
200000	4.438824987411499	4.0336442470550535	3.9759185314178467	15.130420446395874
300000	8.318714284896851	7.86331582069397	8.349388360977173	28.038937091827393
400000	12.959255790710449	12.563308382034302	12.233551263809204	44.378498792648315
500000	18.777273225784302	17.885943603515624	17.657373428344727	65.30695867538452
600000	24.63717603683472	23.23766450881958	22.761676788330078	82.17563056945801
700000	30.724702501296996	29.118357706069947	28.961793899536133	102.25643110275269
800000	37.69580941200256	36.13411359786987	35.95635914802551	125.87599587440491
900000	44.9754807472229	43.07865200042725	43.71862316131592	152.96556663513184
1000000	52.82001414299011	51.21247205734253	50.308419942855835	179.29236030578613
