random	sorted	reversed

0.002614000000000005	0.0021049999999999958	0.0016689999999999969
0.005268999999999996	0.004031000000000007	0.0036780000000000007
0.008515000000000009	0.006665000000000004	0.007102999999999998
0.011359000000000008	0.00865500000000001	0.007922999999999986
0.014804999999999985	0.011147999999999991	0.01059199999999999
0.017785999999999996	0.01335900000000001	0.013053000000000009
0.026843000000000006	0.017093999999999998	0.024027999999999994
0.04876600000000003	0.019324000000000008	0.016644999999999965
0.032003000000000004	0.023565999999999976	0.021428000000000003
0.0366820000000001	0.02534599999999998	0.023640999999999912
0.03928300000000007	0.026437000000000044	0.02487000000000006
0.04251399999999994	0.028908999999999963	0.02867300000000006
0.041551000000000005	0.031364999999999976	0.030579000000000023
0.04959000000000002	0.03416600000000014	0.032399999999999984
0.05691899999999994	0.03808900000000004	0.035111000000000114
0.057023000000000046	0.041225999999999985	0.03673800000000016
0.06119300000000005	0.042305999999999955	0.0385399999999998
0.06784299999999988	0.04580300000000004	0.043406000000000056
0.06798599999999988	0.049215999999999926	0.04574400000000001
0.0718350000000001	0.052194000000000074	0.04850399999999988
0.074573	0.05687000000000042	0.05256800000000039
0.08061700000000016	0.05989700000000031	0.0861679999999998
0.111008	0.0608850000000003	0.057641000000000275
0.08799199999999985	0.06350099999999959	0.062177999999999845
0.09262599999999965	0.06548200000000026	0.06310299999999991
0.12373400000000023	0.06903399999999982	0.0677800000000004
0.09733000000000036	0.07477	0.07031100000000023
0.1067739999999997	0.07861199999999968	0.07116600000000073
0.1078739999999998	0.0801280000000002	0.07106900000000049
0.12973999999999997	0.08893599999999946	0.0934740000000005
0.14566699999999955	0.11393400000000042	0.11209900000000061
0.11409700000000011	0.08172699999999988	0.07575100000000035
0.11934100000000036	0.10961800000000022	0.07585499999999978
0.13595999999999986	0.08916799999999991	0.09228099999999984
0.12386599999999959	0.09034399999999998	0.08507399999999965
0.13641300000000012	0.10868599999999962	0.0919080000000001
0.1366480000000001	0.09651100000000046	0.09169300000000025
0.14483800000000002	0.10971499999999956	0.10418699999999959
0.15896299999999997	0.10228900000000074	0.09438699999999933
0.15153699999999937	0.11369700000000016	0.10057199999999966
0.1512949999999993	0.10824500000000015	0.10683100000000145
0.16464500000000015	0.1088710000000006	0.10524000000000022
