length	random	sorted	reversed

100	0.00048189163208007814	0.0004968643188476562	0.0004591941833496094
200	0.0011245250701904298	0.0011799335479736328	0.0009627342224121094
300	0.0016942501068115234	0.001847982406616211	0.001504659652709961
400	0.0027572154998779298	0.0025663375854492188	0.0021479129791259766
500	0.003058004379272461	0.0033392906188964844	0.0027608871459960938
600	0.0035346508026123046	0.0037779808044433594	0.0033953189849853516
700	0.004225254058837891	0.004450321197509766	0.003908634185791016
800	0.004978847503662109	0.0053555965423583984	0.004616975784301758
900	0.005828332901000976	0.0061838626861572266	0.005357503890991211
10000	0.12327566146850585	0.10989594459533691	0.09939718246459961
100000	1.7031341552734376	1.3717682361602783	1.2910714149475098
200000	3.3987401962280273	2.4677350521087646	2.359104633331299
300000	5.4108305931091305	3.9080865383148193	3.750197172164917
400000	7.693804550170898	5.669814586639404	5.571398019790649
500000	10.46379795074463	6.978832006454468	6.7528650760650635
600000	13.940902614593506	11.220796585083008	10.908952713012695
700000	18.281688356399535	10.730234384536743	10.486641883850098
800000	18.333826351165772	13.019016742706299	12.205962181091309
900000	31.611123704910277	14.141537189483643	13.870055675506592
1000000	32.930000162124635	28.81770372390747	26.623960971832275
