length	random	sorted	reversed

100	0.0002453999999999956	0.0001739999999999936	0.00014000000000000123
200	0.0005499999999999978	0.0003130000000000077	0.0002989999999999937
300	0.000811600000000004	0.0005529999999999979	0.0005000000000000004
400	0.0010729999999999989	0.0010490000000000083	0.0009490000000000054
500	0.0013975999999999988	0.0011479999999999962	0.0008350000000000024
600	0.0017503999999999935	0.0011059999999999959	0.0011670000000000014
700	0.0019753999999999996	0.0015290000000000026	0.0012870000000000104
800	0.002304999999999996	0.0016420000000000046	0.001448999999999978
900	0.002757399999999993	0.0022030000000000105	0.001810000000000006
10000	0.038784000000000006	0.028648000000000007	0.027348999999999957
100000	0.5096488000000001	0.31248199999999926	0.3639670000000006
200000	0.9726574000000003	0.6968320000000006	0.7400480000000016
300000	1.5992322000000005	1.1332650000000015	1.047772000000002
400000	2.0435608000000003	1.5056879999999992	1.5661130000000014
500000	2.9464792	2.020901000000009	1.5876650000000012
600000	3.5446309999999954	2.0610659999999967	1.9744799999999998
700000	4.042944999999994	2.3610149999999948	2.387822
800000	4.515974999999995	2.7473919999999907	2.693456999999995
900000	5.363716599999992	3.205157999999983	2.9905449999999973
1000000	6.0312537999999964	3.44840099999999	3.221714999999989
